ville,cp,population,distance_km,reseau_plus_proche,agence_plus_proche,nb_agences_a_20km
La Possession,97419,36568,16.1,TransakAuto,"Agence SAINT-DENIS, REUNION",1
Bezons,95870,36434,3.4,TransakAuto,Agence SARTROUVILLE,11
Haguenau,67500,36391,5.8,TransakAuto,Agence HAGUENAU,1
Creil,60100,36301,2.5,TransakAuto,Agence SAINT MAXIMIN,3
Villeneuve-Saint-Georges,94190,36221,4.3,TransakAuto,Agence THIAIS,11
Villefranche-sur-Saône,69400,36172,2.9,TransakAuto,Agence VILLEFRANCHE SUR SAONE,4
Saint-Leu,97416,36163,10.9,TransakAuto,"Agence ETANG-SALE, REUNION",1
Châtenay-Malabry,92290,35825,6.4,AgenceAuto,palaiseau,9
Saint-Chamond,42400,35646,8.1,TransakAuto,Agence SAINT ETIENNE,2
Sainte-Geneviève-des-Bois,91700,35438,7.3,AgenceAuto,athis-mons,5
Roanne,42300,35409,3.2,TransakAuto,Agence ROANNE,1
Le Perreux-sur-Marne,94170,35260,4.5,TransakAuto,Agence VINCENNES,12
Mâcon,71000,35177,8.4,TransakAuto,Agence MACON,1
Auxerre,89000,35097,6.1,TransakAuto,Agence AUXERRE,1
Schiltigheim,67300,34708,2.0,AgenceAuto,strasbourg-nord,3
Trappes,78190,34689,5.3,TransakAuto,Agence LES CLAYES SOUS BOIS,3
Les Mureaux,78130,34632,6.3,TransakAuto,Agence CHAMBOURCY,7
Houilles,78800,33983,2.9,TransakAuto,Agence SARTROUVILLE,11
Marignane,13700,33692,1.1,TransakAuto,Agence MARIGNANE,3
Romans-sur-Isère,26100,33464,4.2,TransakAuto,Agence ROMANS SUR ISERE,2
Villiers-sur-Marne,94350,33162,5.2,TransakAuto,Agence SAINT MAUR,11
Montluçon,03100,33147,2.3,TransakAuto,Agence MONTLUCON,1
Nevers,58000,33085,2.5,AgenceAuto,nevers,1
Lens,62300,32920,2.0,TransakAuto,Agence LENS,5
Thiais,94320,32918,2.0,TransakAuto,Agence THIAIS,11
Saint-Médard-en-Jalles,33160,32910,6.1,Simplicicar,merignac,3
Agen,47000,32801,10.6,TransakAuto,Agence AGEN,1
Montigny-le-Bretonneux,78180,32465,5.6,TransakAuto,Agence LES CLAYES SOUS BOIS,4
Nogent-sur-Marne,94130,32455,3.0,TransakAuto,Agence VINCENNES,11
Aix-les-Bains,73100,32406,10.1,TransakAuto,Agence CHAMBERY,2
